k13A_o0_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o0_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o0_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o0_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o0_04_dia0.cnf: UNSAT | VERIFIED
k13A_o0_04_dia1.cnf: UNSAT | VERIFIED
k13A_o1_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o1_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o1_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o1_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o1_05_dia0.cnf: UNSAT | VERIFIED
k13A_o1_05_dia1.cnf: UNSAT | VERIFIED
k13A_o2_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o2_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o2_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o2_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o2_05_dia0.cnf: UNSAT | VERIFIED
k13A_o2_05_dia1.cnf: UNSAT | VERIFIED
k13A_o3_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o3_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o3_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o3_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o3_04_dia0.cnf: UNSAT | VERIFIED
k13A_o3_04_dia1.cnf: UNSAT | VERIFIED
k13A_o4_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o4_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o4_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o4_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o4_04_dia0.cnf: UNSAT | VERIFIED
k13A_o4_04_dia1.cnf: UNSAT | VERIFIED
k13A_o5_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o5_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o5_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o5_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o5_05_dia0.cnf: UNSAT | VERIFIED
k13A_o5_05_dia1.cnf: UNSAT | VERIFIED
k13A_o6_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o6_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o6_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o6_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o6_04_dia0.cnf: UNSAT | VERIFIED
k13A_o6_04_dia1.cnf: UNSAT | VERIFIED
k13A_o7_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o7_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o7_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o7_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o7_04_dia0.cnf: UNSAT | VERIFIED
k13A_o7_04_dia1.cnf: UNSAT | VERIFIED
k13A_o8_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o8_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o8_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o8_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o8_03_dia0.cnf: UNSAT | VERIFIED
k13A_o8_03_dia1.cnf: UNSAT | VERIFIED
k13A_o9_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o9_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o9_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o9_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o9_05_dia0.cnf: UNSAT | VERIFIED
k13A_o9_05_dia1.cnf: UNSAT | VERIFIED
k13A_o10_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o10_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o10_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o10_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o10_04_dia0.cnf: UNSAT | VERIFIED
k13A_o10_04_dia1.cnf: UNSAT | VERIFIED
k13A_o11_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o11_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o11_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o11_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o11_05_dia0.cnf: UNSAT | VERIFIED
k13A_o11_05_dia1.cnf: UNSAT | VERIFIED
k13A_o12_05_c4a0.cnf: UNSAT | VERIFIED
k13A_o12_05_c4a1.cnf: UNSAT | VERIFIED
k13A_o12_05_c4a2.cnf: UNSAT | VERIFIED
k13A_o12_05_c4a3.cnf: UNSAT | VERIFIED
k13A_o12_05_dia0.cnf: UNSAT | VERIFIED
k13A_o12_05_dia1.cnf: UNSAT | VERIFIED
k13A_o13_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o13_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o13_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o13_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o13_04_dia0.cnf: UNSAT | VERIFIED
k13A_o13_04_dia1.cnf: UNSAT | VERIFIED
k13A_o14_25_c4a0.cnf: UNSAT | VERIFIED
k13A_o14_25_c4a1.cnf: UNSAT | VERIFIED
k13A_o14_25_c4a2.cnf: UNSAT | VERIFIED
k13A_o14_25_c4a3.cnf: UNSAT | VERIFIED
k13A_o14_25_dia0.cnf: UNSAT | VERIFIED
k13A_o14_25_dia1.cnf: UNSAT | VERIFIED
k13A_o15_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o15_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o15_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o15_56_c4a3.cnf: UNSAT | VERIFIED
k13A_o15_56_dia0.cnf: UNSAT | VERIFIED
k13A_o15_56_dia1.cnf: UNSAT | VERIFIED
k13A_o16_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o16_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o16_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o16_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o16_04_dia0.cnf: UNSAT | VERIFIED
k13A_o16_04_dia1.cnf: UNSAT | VERIFIED
k13A_o17_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o17_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o17_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o17_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o17_15_dia0.cnf: UNSAT | VERIFIED
k13A_o17_15_dia1.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o18_04_dia0.cnf: UNSAT | VERIFIED
k13A_o18_04_dia1.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o19_04_dia0.cnf: UNSAT | VERIFIED
k13A_o19_04_dia1.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o20_04_dia0.cnf: UNSAT | VERIFIED
k13A_o20_04_dia1.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o21_04_dia0.cnf: UNSAT | VERIFIED
k13A_o21_04_dia1.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a0.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a1.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a2.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a3.cnf: UNSAT | VERIFIED
k13A_o22_35_dia0.cnf: UNSAT | VERIFIED
k13A_o22_35_dia1.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a3.cnf: UNSAT | VERIFIED
k13A_o23_56_dia0.cnf: UNSAT | VERIFIED
k13A_o23_56_dia1.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o24_04_dia0.cnf: UNSAT | VERIFIED
k13A_o24_04_dia1.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o25_04_dia0.cnf: UNSAT | VERIFIED
k13A_o25_04_dia1.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o26_04_dia0.cnf: UNSAT | VERIFIED
k13A_o26_04_dia1.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o27_04_dia0.cnf: UNSAT | VERIFIED
k13A_o27_04_dia1.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o28_04_dia0.cnf: UNSAT | VERIFIED
k13A_o28_04_dia1.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o29_04_dia0.cnf: UNSAT | VERIFIED
k13A_o29_04_dia1.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o30_04_dia0.cnf: UNSAT | VERIFIED
k13A_o30_04_dia1.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o31_15_dia0.cnf: UNSAT | VERIFIED
k13A_o31_15_dia1.cnf: UNSAT | VERIFIED
k13A_o32_04_c4a0.cnf: UNSAT | VERIFIED
