k16A_cherry_path_a_01_c4a0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_path_a_01_c4a1.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_path_a_01_c4a2.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_path_a_01_c4a3.cnf: UNSAT | VERIFIED | 3486365B
k16A_cherry_path_a_01_dia0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_path_a_01_dia1.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_path_b_01_c4a0.cnf: UNSAT | VERIFIED | 3486347B
k16A_cherry_path_b_01_c4a1.cnf: UNSAT | VERIFIED | 3486348B
k16A_cherry_path_b_01_c4a2.cnf: UNSAT | VERIFIED | 3486348B
k16A_cherry_path_b_01_c4a3.cnf: UNSAT | VERIFIED | 3486349B
k16A_cherry_path_b_01_dia0.cnf: UNSAT | VERIFIED | 3486347B
k16A_cherry_path_b_01_dia1.cnf: UNSAT | VERIFIED | 3486347B
k16A_path_P6ish_01_c4a0.cnf: UNSAT | VERIFIED | 3486350B
k16A_path_P6ish_01_c4a1.cnf: UNSAT | VERIFIED | 3486351B
k16A_path_P6ish_01_c4a2.cnf: UNSAT | VERIFIED | 3486351B
k16A_path_P6ish_01_c4a3.cnf: UNSAT | VERIFIED | 3486352B
k16A_path_P6ish_01_dia0.cnf: UNSAT | VERIFIED | 3486350B
k16A_path_P6ish_01_dia1.cnf: UNSAT | VERIFIED | 3486350B
k16A_cherry_pend_edge_01_c4a0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_pend_edge_01_c4a1.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_pend_edge_01_c4a2.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_pend_edge_01_c4a3.cnf: UNSAT | VERIFIED | 3486365B
k16A_cherry_pend_edge_01_dia0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_pend_edge_01_dia1.cnf: UNSAT | VERIFIED | 3486363B
k16A_P4_2edges_a_01_c4a0.cnf: UNSAT | VERIFIED | 3486366B
k16A_P4_2edges_a_01_c4a1.cnf: UNSAT | VERIFIED | 3486367B
k16A_P4_2edges_a_01_c4a2.cnf: UNSAT | VERIFIED | 3486367B
k16A_P4_2edges_a_01_c4a3.cnf: UNSAT | VERIFIED | 3486368B
k16A_P4_2edges_a_01_dia0.cnf: UNSAT | VERIFIED | 3486366B
k16A_P4_2edges_a_01_dia1.cnf: UNSAT | VERIFIED | 3486366B
k16A_P4_2edges_b_01_c4a0.cnf: UNSAT | VERIFIED | 3486366B
k16A_P4_2edges_b_01_c4a1.cnf: UNSAT | VERIFIED | 3486367B
k16A_P4_2edges_b_01_c4a2.cnf: UNSAT | VERIFIED | 3486367B
k16A_P4_2edges_b_01_c4a3.cnf: UNSAT | VERIFIED | 3486368B
k16A_P4_2edges_b_01_dia0.cnf: UNSAT | VERIFIED | 3486366B
k16A_P4_2edges_b_01_dia1.cnf: UNSAT | VERIFIED | 3486366B
k16A_tri_pend_edge_03_c4a0.cnf: UNSAT | VERIFIED | 3247558B
k16A_tri_pend_edge_03_c4a1.cnf: UNSAT | VERIFIED | 3247558B
k16A_tri_pend_edge_03_c4a2.cnf: UNSAT | VERIFIED | 3247558B
k16A_tri_pend_edge_03_c4a3.cnf: UNSAT | VERIFIED | 3247559B
k16A_tri_pend_edge_03_dia0.cnf: UNSAT | VERIFIED | 3247557B
k16A_tri_pend_edge_03_dia1.cnf: UNSAT | VERIFIED | 3247557B
k16A_tri_2pend_03_c4a0.cnf: UNSAT | VERIFIED | 3247606B
k16A_tri_2pend_03_c4a1.cnf: UNSAT | VERIFIED | 3247606B
k16A_tri_2pend_03_c4a2.cnf: UNSAT | VERIFIED | 3247606B
k16A_tri_2pend_03_c4a3.cnf: UNSAT | VERIFIED | 3247607B
k16A_tri_2pend_03_dia0.cnf: UNSAT | VERIFIED | 3247605B
k16A_tri_2pend_03_dia1.cnf: UNSAT | VERIFIED | 3247605B
k16A_C4_pend_03_c4a0.cnf: UNSAT | VERIFIED | 3233656B
k16A_C4_pend_03_c4a1.cnf: UNSAT | VERIFIED | 3233656B
k16A_C4_pend_03_c4a2.cnf: UNSAT | VERIFIED | 3233656B
k16A_C4_pend_03_c4a3.cnf: UNSAT | VERIFIED | 3233657B
