k18A_P3_plus_edge_01: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_P3_plus_edge_02: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_P3_plus_edge_03: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_P3_plus_edge_04: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_P3_plus_edge_05: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_P3_plus_edge_06: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_P3_plus_edge_07: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_P3_plus_edge_08: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_P3_plus_edge_09: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_P3_plus_edge_10: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_P3_plus_edge_11: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_P3_plus_edge_12: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_P3_plus_edge_13: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_P3_plus_edge_14: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_P3_plus_edge_15: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_P3_plus_edge_16: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_P3_plus_edge_17: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_P3_plus_edge_18: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_01: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_path_P4_02: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_path_P4_03: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_path_P4_04: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_05: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_path_P4_06: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_path_P4_07: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_08: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_09: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_10: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_path_P4_11: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_path_P4_12: s UNSATISFIABLE | s VERIFIED | 3486439B
k18A_path_P4_13: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_path_P4_14: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_path_P4_15: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_path_P4_16: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_path_P4_17: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_path_P4_18: s UNSATISFIABLE | s VERIFIED | 3486440B
k18A_star_K1_3_01: s UNSATISFIABLE | s VERIFIED | 3486435B
k18A_star_K1_3_02: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_star_K1_3_03: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_star_K1_3_04: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_05: s UNSATISFIABLE | s VERIFIED | 3486435B
k18A_star_K1_3_06: s UNSATISFIABLE | s VERIFIED | 3486435B
k18A_star_K1_3_07: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_08: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_09: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_10: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_star_K1_3_11: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_star_K1_3_12: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_star_K1_3_13: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_14: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_15: s UNSATISFIABLE | s VERIFIED | 3486437B
k18A_star_K1_3_16: s UNSATISFIABLE | s VERIFIED | 3486438B
k18A_star_K1_3_17: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_star_K1_3_18: s UNSATISFIABLE | s VERIFIED | 3486436B
k18A_three_matching_01: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_three_matching_02: s UNSATISFIABLE | s VERIFIED | 3486442B
k18A_three_matching_03: s UNSATISFIABLE | s VERIFIED | 3486442B
k18A_three_matching_04: s UNSATISFIABLE | s VERIFIED | 3486443B
k18A_three_matching_05: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_three_matching_06: s UNSATISFIABLE | s VERIFIED | 3486441B
k18A_three_matching_07: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_08: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_09: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_10: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_11: s UNSATISFIABLE | s VERIFIED | 3486443B
k18A_three_matching_12: s UNSATISFIABLE | s VERIFIED | 3486443B
k18A_three_matching_13: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_14: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_15: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_16: s UNSATISFIABLE | s VERIFIED | 3486444B
k18A_three_matching_17: s UNSATISFIABLE | s VERIFIED | 3486443B
k18A_three_matching_18: s UNSATISFIABLE | s VERIFIED | 3486443B
k18A certs: PASS=72 FAIL=0
DONE
